CRUISE_HAUL,SWEEP_SEP
0002_7,1
0002_8,1
0002_9,1
0002_16,1
0002_17,1
0002_18,1
0002_22,1
0002_23,1
0002_24,1
0002_31,1
0002_32,1
0002_33,1
0002_45,2
0002_46,2
0002_47,2
0002_48,2
0002_55,2
0002_56,2
0002_57,2
0002_61,2
0002_62,2
0002_63,2
0002_95,3
0002_96,3
0002_97,3
0002_104,3
0002_105,3
0002_106,3
0002_107,3
0002_108,3
0002_112,3
0002_113,3
0002_121,3
0002_122,3
0002_123,3
0103_8,1
0103_9,1
0103_10,1
0103_42,2
0103_43,2
0103_45,2
0103_46,2
0103_47,2
0103_69,2
0103_70,2
0103_71,2
0103_92,3
0103_93,3
0103_94,3
0103_95,3
0103_96,3
0205_11,1
0205_12,1
0205_41,2
0205_42,2
0205_43,2
0205_75,3
0205_76,3
0304_39,2
0304_40,2
0504_28,1
0504_29,1
0504_97,2
0504_98,2
0504_135,3
0504_136,3
0603_17,1
0603_18,1
0603_47,2
0603_48,2
0603_136,3
0603_137,3
0703_6,1
0703_7,1
0703_112,2
0703_113,2
8303_22,1
8303_23,1
8303_31,1
8303_32,1
8303_38,1
8303_40,1
8303_41,1
8406_5,1
8406_6,1
8406_30,1
8406_31,1
8406_33,1
8406_34,1
8406_39,1
8406_40,1
8406_66,1
8406_67,1
8505_3,1
8505_4,1
8505_11,1
8505_12,1
8505_13,1
8505_20,1
8505_21,1
8505_43,1
8505_44,1
8505_50,1
8505_51,1
8505_52,1
8505_54,1
8505_55,1
8505_56,1
8505_65,1
8505_66,1
8505_67,1
8505_77,1
8505_78,1
8505_79,1
8505_94,1
8505_95,1
8505_96,1
8505_105,1
8505_106,1
8505_107,1
8505_119,1
8505_120,1
8505_121,1
8505_130,1
8505_131,1
8608_11,1
8608_12,1
8608_18,1
8608_19,1
8608_22,1
8608_23,1
8608_38,1
8608_39,1
8608_43,1
8608_44,1
8608_65,2
8608_66,2
8608_74,2
8608_75,2
8608_78,2
8608_79,2
8608_110,3
8608_111,3
8703_16,1
8703_17,1
8703_18,1
8703_25,1
8703_26,1
8703_27,1
8703_28,1
8703_40,1
8703_41,1
8703_42,1
8703_50,1
8703_51,1
8703_52,1
8703_53,1
8703_54,1
8703_61,1
8703_62,1
8703_63,1
8703_65,1
8703_66,1
8705_11,1
8705_12,1
8705_19,1
8705_20,1
8705_21,1
8705_30,1
8705_31,1
8705_46,1
8705_47,1
8705_48,1
8705_54,1
8705_55,1
8705_65,2
8705_66,2
8705_67,2
