SPECIES,MATURITY,NAME
604,Y,YOY Rockfish
580,Y,YOY Rockfish
586,Y,YOY Rockfish
593,Y,YOY Rockfish
595,Y,YOY Rockfish
597,Y,YOY Rockfish
599,Y,YOY Rockfish
601,Y,YOY Rockfish
603,Y,YOY Rockfish
609,Y,YOY Rockfish
612,Y,YOY Rockfish
616,Y,YOY Rockfish
619,Y,YOY Rockfish
621,Y,YOY Rockfish
626,Y,YOY Rockfish
628,Y,YOY Rockfish
629,Y,YOY Rockfish
1940,Y,YOY Rockfish
2375,Y,YOY Rockfish
2381,Y,YOY Rockfish
579,Y,YOY Rockfish
581,Y,YOY Rockfish
582,Y,YOY Rockfish
583,Y,YOY Rockfish
584,Y,YOY Rockfish
585,Y,YOY Rockfish
587,Y,YOY Rockfish
588,Y,YOY Rockfish
590,Y,YOY Rockfish
594,Y,YOY Rockfish
608,Y,YOY Rockfish
613,Y,YOY Rockfish
615,Y,YOY Rockfish
618,Y,YOY Rockfish
620,Y,YOY Rockfish
627,Y,YOY Rockfish
630,Y,YOY Rockfish
635,Y,YOY Rockfish
636,Y,YOY Rockfish
2437,Y,YOY Rockfish
2805,Y,YOY Rockfish
589,Y,YOY Rockfish
591,Y,YOY Rockfish
592,Y,YOY Rockfish
596,Y,YOY Rockfish
598,Y,YOY Rockfish
600,Y,YOY Rockfish
602,Y,YOY Rockfish
605,Y,YOY Rockfish
606,Y,YOY Rockfish
607,Y,YOY Rockfish
610,Y,YOY Rockfish
611,Y,YOY Rockfish
614,Y,YOY Rockfish
617,Y,YOY Rockfish
622,Y,YOY Rockfish
623,Y,YOY Rockfish
624,Y,YOY Rockfish
625,Y,YOY Rockfish
631,Y,YOY Rockfish
633,Y,YOY Rockfish
2355,Y,YOY Rockfish
84,U,Blacksmelt
147,Y,YOY Pacific sanddab
209,Y,YOY Anchovy
209,A,Adult Anchovy
209,Y,Total Anchovy
209,A,Total Anchovy
345,U,California Smoothtongue
382,Y,YOY Pacific Hake
448,Y,YOY Lingcod
562,Y,YOY Sardine
562,A,Adult Sardine
562,Y,Total Sardine
562,A,Total Sardine
1101,U,Market squid
1766,U,Sea nettle
2026,U,Octopus
2058,U,Pyrosome
2318,U,Armhook squid
2468,U,Thetys salp
2827,U,Blacktip squid
2840,U,Moon jelly
2846,U,Boreal clubhook squid
685,U,Blue lanternfish
192,U,California headlightfish
669,U,California lanternfish
2814,U,Nannobrachium spp.
712,U,Mexican lampfish
661,U,Northern lampfish
685,U,Total Myctophids
192,U,Total Myctophids
669,U,Total Myctophids
2814,U,Total Myctophids
712,U,Total Myctophids
661,U,Total Myctophids
407,U,Total Myctophids
1472,U,Total Krill
1473,U,Total Krill
1791,U,Total Krill
1816,U,Total Krill
1846,U,Total Krill
1847,U,Total Krill
2829,U,Total Krill
2830,U,Total Krill
2835,U,Total Krill
2849,U,Total Krill
2050,U,Carinaria
315,U,Medusafish
702,U,King-of-the-salmon
