SPECIES,COMMON_NAME,SCI_NAME,RFGROUP,SPECIES_GROUP,NMEAS
604,SHORTBELLY ROCKFISH,Sebastes jordani,1,Rockfish,75
580,PACIFIC OCEAN PERCH,Sebastes alutus,2,Rockfish,
586,SILVERGRAY ROCKFISH,Sebastes brevispinis,2,Rockfish,
593,CALICO ROCKFISH,Sebastes dallii,2,Rockfish,
595,GREENSTRIPED ROCKFISH,Sebastes elongatus,2,Rockfish,
597,WIDOW ROCKFISH,Sebastes entomelas,2,Rockfish,
599,YELLOWTAIL ROCKFISH,Sebastes flavidus,2,Rockfish,
601,CHILIPEPPER,Sebastes goodei,2,Rockfish,27
603,SQUARESPOT ROCKFISH,Sebastes hopkinsi,2,Rockfish,
609,BLACK ROCKFISH,Sebastes melanops,2,Rockfish,
612,BLUE ROCKFISH,Sebastes mystinus,2,Rockfish,
616,BOCACCIO,Sebastes paucispinis,2,Rockfish,2
619,REDSTRIPE ROCKFISH.,Sebastes proriger,2,Rockfish,
621,YELLOWMOUTH ROCKFISH,Sebastes reedi,2,Rockfish,
626,BANK ROCKFISH,Sebastes rufus,2,Rockfish,
628,HALFBANDED ROCKFISH,Sebastes semicinctus,2,Rockfish,5
629,OLIVE ROCKFISH,Sebastes serranoides,2,Rockfish,
1940,ROCKFISH,Sebastes spp.,2,Rockfish,
2375,BLUE-WIDOW ROCKFISH GROUP,Sebastes spp. mys-ento complex,2,Rockfish,
2381,BLACK-YELLOWTAIL ROCKFISH GROUP,Sebastes spp. mel-flav complex,2,Rockfish,
579,ROUGHEYE ROCKFISH,Sebastes aleutianus,3,Rockfish,
581,KELP ROCKFISH,Sebastes atrovirens,3,Rockfish,
582,BROWN ROCKFISH,Sebastes auriculatus,3,Rockfish,
583,AURORA ROCKFISH,Sebastes aurora,3,Rockfish,
584,REDBANDED ROCKFISH,Sebastes babcocki,3,Rockfish,
585,SHORTRAKER ROCKFISH,Sebastes borealis,3,Rockfish,
587,GOPHER ROCKFISH,Sebastes carnatus,3,Rockfish,
588,COPPER ROCKFISH,Sebastes caurinus,3,Rockfish,
590,BLACK-AND-YELLOW ROCKFISH,Sebastes chrysomelas,3,Rockfish,
594,SPLITNOSE ROCKFISH,Sebastes diploproa,3,Rockfish,
608,QUILLBACK ROCKFISH,Sebastes maliger,3,Rockfish,
613,CHINA ROCKFISH,Sebastes nebulosus,3,Rockfish,
615,SPECKLED ROCKFISH,Sebastes ovalis,3,Rockfish,
618,CANARY ROCKFISH,Sebastes pinniger,3,Rockfish,3
620,GRASS ROCKFISH,Sebastes rastrelliger,3,Rockfish,
627,STRIPETAIL ROCKFISH,Sebastes saxicola,3,Rockfish,
630,TREEFISH,Sebastes serriceps,3,Rockfish,
635,PYGMY ROCKFISH,Sebastes wilsoni,3,Rockfish,
636,SHARPCHIN ROCKFISH,Sebastes zacentrus,3,Rockfish,
2437,COPPER ROCKFISH GROUP,Pteropodus spp.,3,Rockfish,
2805,PUGET SOUND ROCKFISH,Sebastes emphaeus,3,Rockfish,
589,GREENSPOTTED ROCKFISH,Sebastes chlorostictus,4,Rockfish,
591,STARRY ROCKFISH,Sebastes constellatus,4,Rockfish,
592,DARKBLOTCHED ROCKFISH,Sebastes crameri,4,Rockfish,
596,SWORDSPINE ROCKFISH,Sebastes ensifer,4,Rockfish,
598,PINK ROCKFISH,Sebastes eos,4,Rockfish,
600,BRONZESPOTTED ROCKFISH,Sebastes gilli,4,Rockfish,
602,ROSETHORN ROCKFISH,Sebastes helvomaculatus,4,Rockfish,
605,FRECKLED ROCKFISH,Sebastes lentiginosus,4,Rockfish,
606,COWCOD,Sebastes levis,4,Rockfish,4
607,MEXICAN ROCKFISH,Sebastes macdonaldi,4,Rockfish,
610,BLACKGILL ROCKFISH,Sebastes melanostomus,4,Rockfish,
611,VERMILION ROCKFISH,Sebastes miniatus,4,Rockfish,
614,TIGER ROCKFISH,Sebastes nigrocinctus,4,Rockfish,
617,CHAMELEON ROCKFISH,Sebastes phillipsi,4,Rockfish,
622,ROSY ROCKFISH,Sebastes rosaceus,4,Rockfish,
623,GREENBLOTCHED ROCKFISH,Sebastes rosenblatti,4,Rockfish,
624,YELLOWEYE ROCKFISH,Sebastes ruberrimus,4,Rockfish,
625,FLAG ROCKFISH,Sebastes rubrivinctus,4,Rockfish,
631,PINKROSE ROCKFISH,Sebastes simulator,4,Rockfish,
633,HONEYCOMB ROCKFISH,Sebastes umbrosus,4,Rockfish,
2355,ROSY ROCKFISH GROUP,Sebastomus spp.,4,Rockfish,8
